"","ks_goog","avg_jm_goog","jm_coef_var_goog","min_jm_goog","max_jm_goog","avg_nf_goog","nf_coef_var_goog","min_nf_goog","max_nf_goog","shortlist","cc","degree","burt","wc","peer_dev_lda","peer_dev_jacc","cc_orig","contest"
"2989",0.11610486,0.30258828,0.087277286,0,1,0.26543209,0.86024064,0,0.66666669,0,0,0,0,57,36.402016,0.99929327,0.017532468,"Contest_9"
"2990",0.19954632,0.35207391,0.10262511,0.10344828,1,0.13500598,1.4101653,0,0.62962961,0,0.1,5,1.0888889,101,17.681072,0.99919206,0.017532468,"Contest_9"
"2991",0.16234984,0.32518932,0.13279934,0,1,0.22736625,1.111401,0,0.83333331,0,0,0,0,50,26.74427,0.99949515,0.017532468,"Contest_9"
"2992",0.10262791,0.29407036,0.12111707,0,1,0.14855967,1.5074546,0,0.83333331,0,0.16176471,17,1.7260951,140,44.600445,0.99882156,0.017532468,"Contest_9"
"2993",0.37187365,0.39681873,0.052251518,0.07692308,0.625,0.065843619,1.7215886,0,0.37037036,0,0,1,0,35,NA,0.99949515,0.017532468,"Contest_9"
"2994",0.14616793,0.32947943,0.16840632,0,1,0.14742193,1.3303138,0,0.66666669,0,0,0,0,164,44.763596,0.99835074,0.046370968,"Contest_9"
"2995",0.15457311,0.32552803,0.10080274,0,1,0.16470797,1.3897434,0,0.83333331,0,0,0,0,331,3.5136929,0.99690175,0.046370968,"Contest_9"
"2996",0.15927087,0.33814928,0.099923819,0,1,0.14603175,1.454357,0,0.66666669,0,0,0,0,112,13.100762,0.99892282,0.046370968,"Contest_9"
"2997",0.22917511,0.35946041,0.1370074,0,1,0.17174023,1.3879285,0,0.9074074,0,0,0,0,230,3.5034668,0.99764317,0.046370968,"Contest_9"
"2998",0.13385509,0.31334838,0.1172759,0.047619049,1,0.12065095,1.5195143,0,0.66666669,0,0,0,0,93,2.0425665,0.99909115,0.046370968,"Contest_9"
"2999",0.26873988,0.37652466,0.074961014,0.045454547,1,0.22685185,1.116443,0,0.83333331,0,0,0,0,76,3.4506316,0.99912494,0.046370968,"Contest_9"
"3000",0.15746814,0.3293635,0.1509271,0,1,0.18344907,1.2319127,0,0.83333331,0,0.0625,16,1.0940863,210,2.2818811,0.99821532,0.046370968,"Contest_9"
"3001",0.13975015,0.31975082,0.1273912,0,1,0.095607236,1.8732457,0,0.66666669,0,0,3,0.66666669,159,29.919191,0.99875432,0.046370968,"Contest_9"
"3002",0.10830657,0.30442658,0.14728144,0,1,0.11594203,1.6381679,0,0.7962963,0,0,0,0,139,NA,0.99861997,0.046370968,"Contest_9"
"3003",0.11700763,0.31140301,0.16449757,0.03125,1,0.17546296,1.2902321,0,0.68518519,0,0,0,0,110,4.3928819,0.99875456,0.046370968,"Contest_9"
"3004",0.51457202,0.55203676,0.080278441,0.15000001,1,0.16103059,1.7199709,0,0.83333331,0,0,0,0,60,2.0301242,0.99939412,0.046370968,"Contest_9"
"3005",0.14571284,0.31710619,0.10579788,0,1,0.16152263,1.447094,0,0.9074074,0,0,0,0,97,3.4671707,0.99899018,0.046370968,"Contest_9"
"3006",0.20219216,0.36514255,0.094270647,0.071428575,1,0.15261814,1.5022843,0,0.7962963,0,0,0,0,89,2.0408096,0.99912488,0.046370968,"Contest_9"
