"wc","winner","shortlist","peer_dev_lda","peer_dev_jacc","ks_goog","contest"
75,0,0,9.0239429,0.99675077,0.20429996,"Contest_4"
137,0,0,9.1748466,0.99235475,0.1944637,"Contest_4"
77,0,1,NA,0.99464834,0.15410729,"Contest_4"
182,0,0,1.506722,0.98757643,0.24418946,"Contest_4"
20,0,0,1.7583036,0.99770641,0.37996948,"Contest_4"
47,0,0,5.7460332,0.99560398,0.159629,"Contest_4"
185,0,0,16.853359,0.98910552,0.1418944,"Contest_4"
118,0,0,10.79667,0.99197251,0.18349844,"Contest_4"
97,0,0,17.827297,0.99311924,0.12772557,"Contest_4"
130,0,0,41.97242,0.99254584,0.14312534,"Contest_4"
104,0,0,5.8070774,0.99541283,0.33392587,"Contest_4"
119,0,0,5.3594141,0.99120796,0.094846196,"Contest_4"
98,0,0,6.8742542,0.99445719,0.23361418,"Contest_4"
44,0,0,2.9593022,0.99617738,0.53799665,"Contest_4"
195,0,0,3.0196295,0.98967892,0.22731245,"Contest_4"
335,0,0,2.1266983,0.98279816,0.27033725,"Contest_4"
161,0,0,8.2336349,0.99063456,0.16333733,"Contest_4"
62,0,0,4.2705092,0.99713302,0.57330781,"Contest_4"
145,0,0,16.761459,0.99388379,0.16768217,"Contest_4"
82,0,0,4.3315592,0.99407494,0.23089969,"Contest_4"
320,0,0,3.1519899,0.98490059,0.29998848,"Contest_4"
65,0,0,4.2892356,0.99560398,0.26575208,"Contest_4"
183,0,0,3.3309994,0.99044341,0.099802069,"Contest_4"
128,0,0,17.113583,0.99082571,0.16602527,"Contest_4"
94,0,0,10.739205,0.99311924,0.21495213,"Contest_4"
80,0,0,2.6704974,0.99331039,0.27611586,"Contest_4"
101,0,0,NA,0.99292815,0.13195109,"Contest_4"
148,0,0,10.796678,0.99101681,0.16360848,"Contest_4"
92,0,0,2.9889076,0.99407494,0.24376485,"Contest_4"
114,0,0,2.6758995,0.99331039,0.2480064,"Contest_4"
269,0,0,10.861922,0.98738533,0.275318,"Contest_4"
16,0,0,37.062878,0.99904436,0.48129383,"Contest_4"
192,0,0,1.6489564,0.98738533,0.23897941,"Contest_4"
138,0,0,17.852697,0.99292815,0.2660335,"Contest_4"
104,0,0,8.1623993,0.99464834,0.3336454,"Contest_4"
